Rk,Team
295,Bethune Cookman
296,Lafayette
297,Columbia
298,Oral Roberts
299,"Saint Francis   16 seed, R68"
300,Lehigh
301,Louisiana
302,Fairleigh Dickinson
303,Utah Tech
304,Howard
305,Penn
306,Southern Miss
307,IU Indy
308,Rider
309,Loyola MD
310,Eastern Illinois
311,Charleston Southern
312,Army
313,VMI
314,Boston University
315,Delaware St.
316,UMBC
317,Long Beach St.
318,Coastal Carolina
319,Grambling St.
320,Binghamton
321,Lindenwood
322,Morehead St.
323,Florida A&M
324,North Carolina Central
325,Alcorn St.
326,Southern Utah
327,Green Bay
328,Niagara
329,Texas A&M Commerce
330,Stonehill
331,Holy Cross
332,Mercyhurst
333,Stony Brook
334,USC Upstate
335,Fairfield
336,Southern Indiana
337,Morgan St.
338,North Carolina A&T
339,Wagner
340,Bellarmine
341,Western Illinois
342,Western Carolina
343,Detroit Mercy
344,Louisiana Monroe
345,Buffalo
346,New Orleans
347,West Georgia
348,Le Moyne
349,Northern Illinois
350,Sacramento St.
351,Central Arkansas
352,NJIT
353,Stetson
354,Canisius
355,Cal St. Fullerton
356,New Hampshire
357,Prairie View A&M
358,Alabama A&M
359,Maryland Eastern Shore
360,The Citadel
361,Chicago St.
362,Arkansas Pine Bluff
363,Coppin St.
364,Mississippi Valley St.
